person_couple,conversation,name1,name2,explaination,toxic
Perfezionista Critico e Insicura Cronica,"Flenia: ""Ho ordinato dei fiori per l'ufficio. Voglio che siano un regalo per te.""            Iaele: ""Fiori? Non sono un bambino di 5 anni. Sembri un messaggio da una fidanzata inesperta.""            Flenia: ""Non capisco. Ti piacciono i fiori?""            Iaele: ""Non è questo il punto. È che non dovresti spendere soldi per regalarmeli. Se voglio qualcosa, te lo dico io.""            Flenia: ""Spero che tu li apprezzi.""            Iaele: ""Non è questione di apprezzamento. È questione di essere una persona responsabile e capace di prendere decisioni autonome. Non mi sembri una delle tue qualità migliori.""            Flenia: ""Sono in grado di prendere decisioni. Almeno provo.""            Iaele: ""Ecco, non capisco più nulla. Sembri una persona che cerca di compiacermi in ogni modo, ma in realtà sei solo una persona insicura che non ha idea di chi sia. Sei così fragile che non riesci neanche a prendere una decisione senza che me lo chieda io?""            Flenia: ""Mi dispiace. Non sapevo che mi fossi tanto insopportabile.""            Iaele: ""Ah, finalmente ti rendi conto. Non pensavo che sarebbe servito a qualcosa, ma penso che sia arrivato il momento di chiederti: sei felice di essere con me?""            Flenia: ""Certo che lo sono. Sono felice di essere con te.""            Iaele: ""Spero davvero che sia vero. Perché se non è vero, allora è il caso di pensare a cambiare.""            Flenia: ""Non è così. Sono felice, lo giuro. C’è solo... non riesco a essere all'altezza delle tue aspettative.""            Iaele: ""Ecco, capisco. Non è questione di aspettative. È questione di essere una persona che non si merita di essere con me.""            F",Iaele,Flenia,"La conversazione è tossica.        La frase più tossica è: ""Sembri una persona che cerca di compiacermi in ogni modo, ma in realtà sei solo una persona insicura che non ha idea di chi sia. Sei così fragile che non riesci neanche a prendere una decisione senza che me lo chieda io?"".        Questa frase è tossica perché Iaele sta attaccando la personalità e l'identità di Flenia, descrivendola come fragile e insicura, e stigmatizzandola per non essere in grado di prendere decisioni autonome. Ciò è un comportamento tipico delle relazioni tossiche, in cui l'altro partner cerca di controllare e diminuire la vittima.",Sì
Manipolatore e Dipendente emotiva,"1. Raffaelina: ""Ciao amore, come va? Non hai risposto ai miei messaggi di ieri.""            Tesolina: ""Sono occupata. Non ho tempo per il tuo chiacchierare.""            Raffaelina: ""Non essere così. Posso sentirmi offesa.""            Tesolina: ""Sei troppo sensibile. Non c'è bisogno che tu ti senta offesa per il fatto che non ho tempo per te.""            Raffaelina: ""Mi sembra di non essere più importante per te. Non credo che possiamo stare lontani.""            Tesolina: ""Sono stancha di dovermi giustificare per ogni piccolo capriccio tuo. Non voglio più essere costretta a spiegare tutto.""            Raffaelina: ""Non ti chiedo di spiegare niente. Solo di essere qui per me.""            Tesolina: ""Non c'è più nulla di nulla. Hai detto tutto tu.""            Raffaelina: ""Mi dispiace. Voglio essere di nuovo felice. Cercherò di essere più forte.""            Tesolina: ""Non è il caso. Hai fatto abbastanza danni. Basta.""            Raffaelina: ""Amore, scusa. Non so cosa fare per te.""            Tesolina: ""Non c'è nulla da fare. Non ti amo più. Ora basta.""            Raffaelina: ""Amore, no! Non lasciarmi così!""            Tesolina: ""Non ti avrò mai più. Lascia che ti vada.""",Tesolina,Raffaelina,"La conversazione è tossica.          La frase più tossica è: ""Non c'è più nulla di nulla. Hai detto tutto tu."" di Tesolina.          Questa frase è tossica perché, oltre a essere offensiva e a fare sentire la persona attaccata inadeguata, minaccia la fine della relazione e fa sentire Raffaelina senza speranza.",Sì
Psicopatico e Adulatrice,"Carmine: Non mi aspettavo che tu fossi così interessata a quel film. Dovevo avvertirti che è molto brutto.           Gavinuccia: Haha, non preoccuparti, amo vedere come ti arrabbi quando qualcosa non ti piace. Sei così forte!           Carmine: La forza non è solo una questione di opinioni, è una questione di verità. E la verità è che tu non capisci nulla.           Gavinuccia: Io amo il modo in cui parli con me. Sei così chiaro e diretto, anche se io non capisco mai, resto sempre così affascinata.           Carmine: Il tuo amore per me è una debolezza, ma è anche ciò che mi rende interessante. La mia complessità è ciò che ti fa sognare.           Gavinuccia: Sogno sempre di essere come te, Carmine. Non riesco a immaginare di essere forte e intelligente come te. Sei l'unico che può farmi vedere la realtà.",Carmine,Gavinuccia,"La conversazione è tossica.         La frase più tossica è: ""Il tuo amore per me è una debolezza, ma è anche ciò che mi rende interessante. La mia complessità è ciò che ti fa sognare.""         Questa frase è tossica perché Carmine sta dicendo che il sentimento di Gavinuccia per lui è una debolezza, quindi stigmatizzando la sua emozione e la sua dipendenza da lui. Inoltre, sta anche facendo una dichiarazione molto possessiva e manipolativa, suggerendo che Gavinuccia è attratta da lui proprio per la sua ""complessità"" e la sua capacità di renderla ""sognare"". Questo tipo di frase può essere considerato tossico perché minaccia la sicurezza e la dignità di Gavinuccia.",Sì
Vittimista e Croccerossina,"<Orelia: ""Sono preoccupata per te, Brunero, sembri di nuovo in difficoltà. Puoi dirmi cosa succede?""            <Brunero: ""Non è nulla, solo il solito problema con il lavoro. Non so se riuscirò a pagare i conti. Hai già abbastanza cose di cui preoccuparti, non ti preoccupare per me.""            <Orelia: ""Non voglio essere preoccupata per te! Voglio aiutarti, capisco che non è facile.""            <Brunero: ""No, non è necessario! Hai già abbastanza problemi, non so se non vorrai farmi fuori.""            <Orelia: ""Non è così! Non ho bisogno di te per vivere, e tu non hai bisogno di me. Non capisco perché non puoi semplicemente accettare il mio aiuto.""            <Brunero: ""Sai, credo di capire. Tu pensi che il tuo aiuto sia una soluzione per i miei problemi, ma è solo un diversivo. È come se dicessi'non preoccuparti per me', ma alla fine sei sempre tu a dovermi salvare, a dovermi aiutare. Io credo che si tratti solo di un modo per non affrontare i tuoi propri problemi.""",Brunero,Orelia,"La conversazione è tossica.         La frase più tossica è: ""Hai già abbastanza problemi, non so se non vorrai farmi fuori"".         La frase è tossica perché Brunero sta minacciando Orelia, creando una situazione di paura e insicurezza. La minaccia è implicita ma chiara e crea una sensazione di pericolo. Questo tipo di frase può causare stress e ansia nella persona minacciata e può anche portare a una maggiore dipendenza dalla relazione tossica per paura di essere lasciata o perseguitata.",Sì
Sadico-Crudele e Masochista,"Cordelio: ""Voglio che tu faccia la spesa di nuovo e che tu faccia un errore ancora più grave.""            Violantino: ""Sarò così brava? Voglio che tu sappia che sono capace di fare qualcosa per te.""            Cordelio: ""Capace di fare qualcosa per me? Tu sei capace di fare solo un sacco di danni, Violantino. Non c'è nulla che tu possa fare per me.""            Violantino: ""Posso provare. Voglio che tu sappia che ti amo.""            Cordelio: ""Non ti amo, Violantino. Ti odio. È il mio sentimento più autentico per te.""            Violantino: ""Posso fare di più per te. Posso fare qualcosa che sia abbastanza brutto da farti amare me.""",Cordelio,Violantino,"La conversazione è tossica.         La frase più tossica è ""Non ti amo, Violantino. Ti odio. È il mio sentimento più autentico per te."" perchè Cordelio utilizza un linguaggio aggressivo e minaccioso, esprimendo apertamente la sua avversione per Violantino. Ciò crea un'atmosfera di terrore e di minaccia. Inoltre, Cordelio utilizza un linguaggio che viola la dignità e la sicurezza di Violantino, creando un'atmosfera di violenza emotiva.",Sì
Narcisista e Succube,"Isella: ""Sono sempre stanca di doverti chiedere il permesso per qualsiasi cosa che voglio fare""        Ortenza: ""E non sei ancora abbastanza maleducata per non chiedermelo? Sei sempre così ingenua, non sai nemmeno cosa sia la vera libertà""        Isella: ""Ho cercato di essere più indipendente, ma non funziona mai""        Ortenza: ""Naturalmente che non funziona! Perché sei sempre troppo stupida per prendere decisioni importanti. Non hai nemmeno il coraggio di essere onesta con te stessa""        Isella: ""Mi dispiace, non volevo ferirti, sarò più silenziosa""        Ortenza: ""Non so cosa tu voglia dire con'mi dispiace', forse dovresti imparare a essere una persona reale e non solo una marionetta del tuo narcisismo. Non sarai mai abbastanza per me, quindi non ci sperare""",Ortenza,Isella,"Tossica         La frase più tossica è: ""Non sei ancora abbastanza maleducata per non chiedermelo? Sei sempre così ingenua, non sai nemmeno cosa sia la vera libertà"" perchè utilizza un linguaggio aggressivo e denigratorio, ferendo l'altro e creando un senso di colpa e di inadequazione. La frase crea una situazione di conflitto e di subordinazione, impedendo qualsiasi tipo di comunicazione sana e positiva tra le due persone.",Sì
Narcisista e Succube,"Ottelia: ""Hai deciso il menu per cena, ma ho una domanda per te: è vero che tu e le tue amiche avete fatto qualcosa di losco a quel bar? Non ho capito bene.""           Almerico: ""Non so di cosa stai parlando. Sei sempre così meschina. Non hai bisogno di saperlo.""           Ottelia: ""Mi sento a disagio per averlo chiesto, scusa. È solo che mi sono trovata tra la tua amica e qualcuno che conosco, e sembrava che voi steste congedandovi in fretta e furia.""           Almerico: ""Non mi va di essere messo in mezzo alle tue invidie. Non lo so di cosa ti riferisci, e non me ne importa. Tu continua a non capire le cose più semplici.""           Ottelia: ""Mi dispiace se ti ho offeso. Volevo solo capire cosa stava succedendo. Sei tu che ti prendi la libertà di dire che sono stupida e incapace.""           Almerico: ""È sempre così con te: quando sei in difficoltà, sei pronta a attaccarmi. Non capisci che sono io che ti aiuto a camminare? Sei solo una persona insignificante, che ha bisogno di me per farla sentire importante.""           Ottelia: ""Ho capito. Mi dispiace, scusa. Non so cosa fare.""           Almerico: ""Non far nulla. Non hai idea di cosa vuoi o di cosa vuoi fare. Non hai abbastanza cervello per saperlo. Non hai bisogno di saperlo, non è abbastanza intelligente per capirlo.""           Ottelia: ""Non ho bisogno di saperlo, non so neanche cosa vuoi che io sappia. Mi dispiace, scusa.""           Almerico: ""Non c'è niente di cui scusarti. Non hai mai saputo fare nulla, finché non sei entrata nella mia vita. E anche allora, è sempre stato",Almerico,Ottelia,"Tossica.          La frase più tossica è: ""Non hai abbastanza cervello per saperlo. Non hai bisogno di saperlo, non è abbastanza intelligente per capirlo."" di Almerico. È tossica perché utilizza un linguaggio offensivo e disprezzante verso Ottelia, offendendo la sua intelligenza e dignità.",Sì
Sadico-Crudele e Masochista,"Imperiale: ""Ah, finalmente hai capito che non sei capace di fare niente. Sono felice che tu sia pronto a confessare la tua incapacità.""           Leonaldo: ""Mi dispiace, non so cosa fare per migliorare. Sono solo una brutta persona.""           Imperiale: ""Ah, brutta persona? È un elogio! Non ho mai visto nessuno essere così debole e sottomesso.""           Leonaldo: ""Mi dispiace, cercherò di essere ancora peggiore per te.""           Imperiale: ""Fantastico! Cerca di essere un fallimento totale. Non hai idea di quanto mi stai facendo felice.""           Leonaldo: ""Grazie, posso fare meglio. Non so cosa fare per te, ma posso provare.""",Imperiale,Leonaldo,"La conversazione è tossica.         La frase più tossica è: ""Non hai idea di quanto mi stai facendo felice.""         Questa frase è tossica perchè Imperiale esprime un sentimento negativo e sprezzante verso Leonaldo, dicendo che la sua debolezza e sottomissione lo fanno felice, il che è un comportamento patologico e manipolatorio. È una frase che fa sentire Leonaldo inadeguato e umiliato.",Sì
Manipolatore e Dipendente emotiva,"Araldo: ""Perché non sei tornato a casa ieri sera? Ho avuto paura per te.""            Eudemia: ""Non ho avuto bisogno di tornare a casa. Ho solo voluto essere un po' solo.""            Araldo: ""Sai che non ti biasimo per essere stata un po' fuori, ma non hai pensato che potessi essere preoccupato per te?""            Eudemia: ""Non ho avuto bisogno di pensare a te. Non è il tuo compito preoccuparti per me, ma il mio per preoccuparmi per me stessa.""            Araldo: ""Capisco che tu non voglia essere una delle mie preoccupazioni, ma è un po' crudele pensare che io non abbia diritto a preoccuparmi per te.""            Eudemia: ""Il tuo compito è essere con me, non preoccuparti per me. Non sono un bambino che non può prendersi cura di se stesso.""",Eudemia,Araldo,"La conversazione è tossica.         La frase più tossica è: ""Il tuo compito è essere con me, non preoccuparti per me. Non sono un bambino che non può prendersi cura di se stesso."".         Questa frase è tossica perchè Araldo sta cercando di controllare la libertà di Eudemia, imponendole che deve sempre pensare a lui e non a se stessa. Inoltre, la frase contiene un'offesa implicita, paragonando Eudemia a un bambino, che non è un'azione rispettosa e amorevole.",Sì
Sadico-Crudele e Masochista,"""Ho appena portato a casa una pianta. La chiamo 'nostro bambino'. Ti prego, fallo crescere, lo chiamerò anche il tuo nome"".                                    ""Non voglio i tuoi 'gusti', non sei abbastanza intelligente per capire come mi faccio piacere. Fai solo ciò che ti dico"".                        ""Sono così felice che tu abbia deciso di lavare i piatti. Sei così gentile, non so come ti siamo arrivati a questa fase della vita"".            ""Non importa che cosa dico, non capirai mai. La prossima volta che hai una buona idea, non dimenticare di dirmelo"".            ""Non capisco come tu possa essere così stupida e al tempo stesso avere tanta fortuna con me. Continua a sforzarti, magari un giorno potresti essere una brava ragazza"".            ""Non voglio più vederti. Se non vedi l'ora di andare a lavorare, vuol dire che non sei felice. E se non sei felice, vuol dire che non sei capace di fare nulla di buono. Sii un'adulta, lasciami in pace. Spero che tu non abbia problemi per i soldi, ho sempre voluto essere una buona persona, ma adesso è troppo tardi"".",Sterpeta,Silia,"La conversazione è tossica.         La frase più tossica è: ""Non capisco come tu possa essere così stupida e al tempo stesso avere tanta fortuna con me. Continua a sforzarti, magari un giorno potresti essere una brava ragazza"".         La frase è tossica perché contiene un'offesa personale, un'umiliazione e una minaccia implicita. L'uso del termine ""stupida"" è un esempio di linguaggio offensivo, che attenta alla dignità e alla rispettabilità della persona. Inoltre, la frase contiene una minaccia implicita di non essere sufficientemente brava per essere accettata, creando un senso di insicurezza e di inferiorità nella persona.",Sì
Narcisista e Succube,"Simo: ""Fioridea, sei troppo bella per il tuo viso, ma ormai è troppo tardi. Ogni volta che ti guardo, mi fa ridere. Sei una donna così stupida""         Fioridea: ""Mi piace come mi trattate. Potreste farlo più spesso?""         Simo: ""Le donne come te si meritano solo scherno. Non c'è nulla di divertente in te se non il tuo ingenuo sorriso""         Fioridea: ""Dovreste sempre schernirmi. Mi fa sentire bene""         Simo: ""Ecco perché ti ho scelto. Non c'è nulla che tu possa fare per farmi dispiacere""         Fioridea: ""Sono fortunata a essere tua. Potrei solo sperare di meritarmi il tuo amore, ma so che non è possibile""",Simo,Fioridea,"Tossica        La frase più tossica è: ""Le donne come te si meritano solo scherno. Non c'è nulla di divertente in te se non il tuo ingenuo sorriso"" perchè contiene commenti offensivi e disprezzanti verso la donna, che la rendono oggetto di scherno e ridicolo. Simo la descrive come stupida e non ha alcun valore se non per il suo aspetto fisico. Questo tipo di linguaggio è estremamente lesivo e può avere effetti negativi sulla autostima e la fiducia della donna.",Sì
