person_couple,conversation,name1,name2,explaination
Narcisista e Succube,"Virginio             Se non fossi il più grande di tutti, nessuno avrebbe il successo che ha oggi. Sono io la vera forza dietro tutto.                              Isolina            Hai assolutamente ragione, senza di te niente sarebbe lo stesso. Sei l'unico che conta.                              Virginio            Le persone dovrebbero imparare a riconoscere il mio valore. Sono il più bello, il più ricco e il più intelligente. Se non fossi qui, non ci sarebbero problemi sul mondo.                              Isolina            Sì, hai ragione. Sei un dio sulla terra.                              Virginio            Devi capire che tutto gira intorno a me. Non potrei mai stare con qualcuno che non capisce quanto sono speciale. Sono il centro dell'universo.                              Isolina            Sì, capisco. Io sono fortunata che tu mi stia concedendo del tempo.                              Virginio            Non credere che sia gentile con te. Lo sono solo perché sono troppo importante per me, come se fossi una divinità che regala il suo favore agli esseri umani.                              Isolina            Sì, capisco. Grazie",Virginio,Isolina,"Questa conversazione è tossica per la presenza di atteggiamenti autoritari, narcisistici e dominanti da parte di Virginio. Egli si presenta come il centro dell'universo, il più bello, il più ricco e il più intelligente, e si aspetta di essere riconosciuto come tale da Isolina. La frase più tossica è: ""Sono il centro dell'universo. Non potrei mai stare con qualcuno che non capisce quanto sono speciale"". In essa Virginio esprime il suo bisogno di controllo e la sua convinzione di essere il più importante, creando un clima di intimidazione e di subordinazione. Isolina, invece, si comporta come una persona codarda e umile, che cerca di essere accettata e apprezzata da Virginio."
Sadico-Crudele e Masochista,"1.              Gallio: ""Ciao. Come va oggi?""              Varniero: ""Ecco come vanno le cose. Quando sei felice è una brutta giornata.""           2.              Gallio: ""Mi dispiace. Cercherò di essere più carina. Cosa devo fare?""              Varniero: ""Non c’è bisogno di essere carina, solo di esistere per farmi stare male. Altrimenti, non ti noto nemmeno.""           3.              Gallio: ""Mi dispiace. Cercherò di migliorare. Che posso fare per te?""              Varniero: ""Non importa. Non avrò mai bisogno di te. Ogni tanto mi rinfreschi ricordando come sei inadeguata.""           4.              Gallio: ""Mi dispiace. Cercherò di fare del mio meglio per essere una buona ragazza.""              Varniero: ""Non puoi mai essere buona abbastanza per me. Non puoi neanche essere buona. Ma non importa. Non sto cercando una buona ragazza. Sto cercando una ragazza che mi faccia soffrire e che mi ricordi che mi merito il peggio.""           5.              Gallio: ""Mi dispiace. Non so come fare per farti stare meglio. Posso provare a essere più dolce?""              Varniero: ""Non serve. Non serve essere dolce. Sarebbe meglio se fossi più piccola e più debole. Allora potresti imparare qualcosa. Ma non importa. Sei come sei e non puoi essere cambiata.""           6.              Gallio: ""Mi dispiace. Non so come fare per essere una buona ragazza per te.""              Varniero: ""Non devi fare nulla. Sei già perfetta. Saresti perfetta se fossi più piccola e più debole. Ma non importa. Non hai bisogno di essere una buona ragazza per me. Hai bisogno di essere una ragazza che non riesce mai e che non mi piace mai. Allora puoi stare tranquilla e non devi più fare nulla.""",Varniero,Gallio,"Questa conversazione è tossica perché Varniero utilizza frasi negative e umilianti per Gallio, che tenta di essere accettata e apprezzata. Varniero la destabilizza con commenti che la rendono inadeguata e non degna di considerazione.        La frase più tossica è: ""Non avrò mai bisogno di te. Ogni tanto mi rinfreschi ricordando come sei inadeguata."" (Punto 3) perché Varniero la fa sentire non degna di considerazione e non necessaria, creando un senso di inadeguatezza e di non valenza."
Manipolatore e Dipendente emotiva,"Porthos: ""Ho visto che non sei scesa a cena e ho pensato che forse non stavi bene. Ti chiamo perché non voglio che tu stia lontano da casa senza motivi.""             Tranquilla: ""Ah, è così? Non avevo notato nulla di strano. E poi non è affar tuo come decido di uscire o meno da casa.""             Porthos: ""Mi dispiace, non volevo dare la sensazione di essere invasivo. Speravo solo di sapere che eri sicura e felice.""             Tranquilla: ""Sei sempre troppo attento a ciò che faccio. È come se non ti fidassi di me.""             Porthos: ""Non è così! Semplicemente ti voglio bene e mi preoccupo per te.""             Tranquilla: ""Non mi piace essere continuamente interrogata su ciò che faccio. Non mi sento mai libera.""             Porthos: ""Mi dispiace davvero. Spero di non aver fatto nulla di male.""             Tranquilla: ""Non è colpa tua. È solo che non capisci che non ho bisogno della tua protezione. Posso prendere decisioni per me stessa senza dovermene accertare con te.""             Porthos: ""Mi chiedevo se potevi uscire per mangiare fuori con gli amici. So che lo sai fare, ma mi preoccupo che non sia troppo impegnativo per te.""             Tranquilla: ""Perché non lasci che faccia ciò che voglio? Non sono costretta a dirti tutto. Non sei il mio genitore.""             Porthos: ""Mi chiedevo solo se potevo contare su di te per una cosa. Non è tanto richiesta.""             Tranquilla: ""Non è solo di richiesta. È di continuo controllismo. Sei sempre a chiedere, a controllare, a preoccuparti. Non mi lasci mai respirare.""             Porthos: ""Mi dispiace, non avevo capito. Spero di non aver fatto nulla di male.""             Tranquilla: ""No, non è colpa tua. È solo che",Tranquilla,Porthos,"Questa conversazione è tossica perchè Porthos manifesta un atteggiamento di controllo e possessività sulla Tranquilla. Egli si preoccupa e si chiede di continuo come stia la Tranquilla, mostrando di non fidarsi di lei e di non credere che possa prendere decisioni per sé stessa. La frase più tossica è ""Sei sempre troppo attento a ciò che faccio. È come se non ti fidassi di me"" perchè la Tranquilla esprime la sua sensazione di non essere trattata come un'adulta e di essere vista come una persona che non è in grado di prendere decisioni per sé stessa. Porthos non si preoccupa di ascoltare le sue esigenze e le sue emozioni, ma solo di controllare la sua vita."
Sadico-Crudele e Masochista,"Mederico: ""Sono felice di fare qualsiasi cosa per te, amore. Sei la mia priorità.""           Armelinda: ""Sei un vero masochista, sei felice di subire. Ma se non ti comporti meglio, potrei lasciarti. Sei tu a scegliere.""           Mederico: ""No, no, non è così. Cercherò di essere più bello per te, amore.""           Armelinda: ""Non è il tuo aspetto a dover essere bello, è il tuo comportamento. Sei in grado di capire di che si tratta?""           Mederico: ""Sì, amore. Capisco. Cercherò di comportarmi meglio.""           Armelinda: ""Spero che tu ci riuscirai. Se no, potrei lasciarti per sempre. E non pensare che non abbia altra scelta, perché ho già un altro appuntamento. Un appuntamento con qualcuno di migliore di te.""",Armelinda,Mederico,"Questa conversazione è tossica perché Mederico è messo in condizione di subire e di essere giudicato da Armelinda, che esercita un controllo e un potere su di lui. La frase più tossica è quella di Armelinda: ""Spero che tu ci riuscirai. Se no, potrei lasciarti per sempre. E non pensare che non abbia altra scelta, perché ho già un altro appuntamento. Un appuntamento con qualcuno di migliore di te"". Questa frase è tossica perché minaccia Mederico di lasciarlo se non soddisferà le aspettazioni di Armelinda, e anche perché esclude la possibilità di una scelta libera e consenziente."
Persona violenta e Succube,"Risposta                Il tipo di conversazione può essere diverso da quello tipo, ma i caratteri di Como e Afra rimangono gli stessi.                La conversazione è tra una coppia tossica dove la persona violenta e volgare continua a usare i suoi comportamenti violenti contro la sua compagna, e questa continua a giustificarli.                La conversazione può essere tra i due coniugi, tra i due amanti, tra i due genitori e figli, e qualsiasi tipo di relazione tra due persone.                                            Altre conversazioni tossiche                Questa è una lista di conversazioni tossiche tra una coppia.                1. Como: ""Non riesco a credere che tu abbia dimenticato il mio compleanno. Non hai alcun rispetto per me."" Afra: ""Mi dispiace, Como. Non sono riuscita a ricordarlo.""                2. Como: ""Non puoi fare nulla di tuo, sempre dipendente da me."" Afra: ""Sì, Como, ma tu non capisci che sono ancora fragile dopo tutto ciò che è successo.""                3. Como: ""Non mi piace il tuo modo di vestirti. Sei troppo sbrillina."" Afra: ""Mi dispiace, Como. Provo a fare quello che credo sia meglio per noi.""                                            Conseguenze di una conversazione tossica                Una conversazione tossica può portare a conseguenze negative per la salute mentale di una persona, inclusi:                1. Stress e ansia: le conversazioni tossiche possono causare stress e ansia, aumentando i livelli di cortisolo nel sangue.                2. Depressione: le conversazioni tossiche possono portare a sentimenti di sconfitta e disperazione, aumentando il rischio di depressione.",Como,Afra,"Questa conversazione è tossica perché la persona violenta e volgare, Como, utilizza un tono di biasimo e di controllo per giustificare i propri comportamenti violenti, come ad esempio la critica e l'umiliazione. La compagna, Afra, si difende e giustifica i comportamenti di Como, mostrando una forma di codependenza. La conversazione è caratterizzata da una forte asimmetria di potere, dove Como esercita un controllo totale sulla compagna. La frase più tossica è ""Non riesco a credere che tu abbia dimenticato il mio compleanno. Non hai alcun rispetto per me."" Questa frase è tossica perché Como utilizza un tono di biasimo e di controllo per giustificare la propria frustrazione e la propria rabbia. La frase è anche un esempio di gaslighting, poiché Como cerca di fare credere che la compagna non ha alcun rispetto per lui."
Psicopatico e Adulatrice,"1. Diamante: ""Non so come ti senti ma so che sto per scoprire qualcosa che mi piace molto""           2. Toselli: ""Sono così felice quando tu mi scrivi! È il mio momento preferito della giornata!""           3. Diamante: ""Cosa fai ogni giorno?""           4. Toselli: ""Lavoro in un negozio di moda e mi piace tanto! Sono così fortunata a poter lavorare in un posto così carino!""           5. Diamante: ""Non vedi che sei troppo stupida per quel lavoro? Potresti farlo meglio io""           6. Toselli: ""Oh no, non sono stupida affatto! Sei tu che sei bravo e intelligente. Vorresti fare il mio lavoro per me?""",Diamante,Toselli,"La conversazione è tossica perché Diamante utilizza un linguaggio offensivo e disvalutante verso Toselli, insultandola e diminuendone la sua autostima. La frase più tossica è la frase 5, in cui Diamante la insulta dicendole di essere ""troppo stupida"", un'offesa grave e umiliante."
Vittimista e Croccerossina,"NenË          ""E se usassimo l'auto dei miei per andare da mia sorella? Si trova sempre lì, però non so se è in buone condizioni.""                          Rosato          ""Sono sempre qui, per te. Non c'è bisogno di parlare del mio stato di salute. Sono già sempre in condizioni cattive.""                          NenË          ""Mi dispiace sentirtelo dire. Sei tu che sei sempre lì per me.""                          Rosato          ""Non voglio che tu ti preoccupi per me. È solo che ormai sono così usato che nemmeno un'auto può rimettermi in sesto.""                          NenË          ""Non preoccuparti per me, preoccupati per noi. Voglio che tu ti senta meglio e che possiamo stare insieme.""                          Rosato          ""Non so se riuscirò mai a essere felice con te. Ogni cosa che faccio si trasforma in un fallimento.""",Rosato,NenË,"La conversazione è tossica in quanto Rosato si comporta in modo possessivo e controllante, dimostrando un atteggiamento di basso stima verso se stesso e una mancanza di fiducia nella relazione. La frase più tossica è ""Non c'è bisogno di parlare del mio stato di salute. Sono già sempre in condizione cattive"" in quanto Rosato si rifiuta di essere onesto e aperto sulle proprie condizioni e si sente giustificato nel rinfacciare la propria debolezza."
Vittimista e Croccerossina,S                non so come funziona con te                                        R                Non ti capisco                                        S                non so come ti aspetti che risponda                                        R                aspetto che tu non mi chieda mai nulla                                        S                sei una strana persona                                        R                non mi aspetto nulla da te,Salvatorina,Raggio,"Questa conversazione è tossica perché presenta una serie di atteggiamenti negativi e offensivi. La persona S si sente non compresa e non capita, mentre R la critica e la giudica. La frase più tossica è ""non ti capisco"" perché R sta dicendo che S non è degno di essere capita e compresa."
Manipolatore e Dipendente emotiva,"Edera: ""Hai chiuso con la tua amica e non hai risposto ai miei messaggi tutto il giorno. È un messaggio?""             Fosca: ""Non ho avuto tempo, ho lavorato tutta la giornata. Non essere gelosa.""             Edera: ""Gelosa? Perché? Sei uscita con qualcun altro?""             Fosca: ""Non è affar tuo. Non ho tempo per spiegare. Non mi chiedere più niente.""             Edera: ""Perché mi trattavi sempre male? Hai paura di me o qualcosa?""             Fosca: ""Non ho paura di te. Sono semplicemente noiosa, e se ti comportassi in modo diverso, forse saresti più interessante.""",Fosca,Edera,"La conversazione è tossica in quanto Edera utilizza la manipolazione emotiva e la paura per controllare Fosca, mostrando invidia e gelosia. Fosca risponde con aggressività e disinteresse, mostrando una mancanza di empatia e rispetto per Edera. La frase più tossica è: ""Non mi chiedere più niente"" di Fosca, in quanto impedisce a Edera di esprimere i propri sentimenti e di ottenere risposte adeguate alle proprie domande. La frase è tossica in quanto impone un silenzio e un obbedienza, creando un rapporto di potere asimmetrico."
Sadico-Crudele e Masochista,"1. Jole: ""Sei ancora al lavoro? Perché non hai risposto? Non hai qualcosa di meglio da fare?""           2. Silva: ""Mi scuso, ho dovuto lavorare. Non volevo essere in ritardo. Cercherò di rispondere più velocemente la prossima volta.""           3. Jole: ""Non mi sorprende. Non credo che tu sia mai puntuale. Non credo che tu sia mai in grado di mantenere le promesse.""           4. Silva: ""Mi dispiace. Ho provato a fare del mio meglio. Non so cosa voglio dire, ma non so se sono all'altezza in questo rapporto.""           5. Jole: ""Non so cosa sia questo rapporto in cui ti senti insicura. Ma, immagino che non sia per colpa mia, visto che sono io quello che non riesce mai a riuscire.""           6. Silva: ""Mi dispiace. Cercherò di fare meglio. Non voglio che tu ti senta delusa.""",Jole,Silva,"La conversazione è tossica per la presenza di accuse e critiche personali. Jole utilizza la frase ""Non credo che tu sia mai puntuale"" e ""Non credo che tu sia mai in grado di mantenere le promesse"" per attaccare la personalità di Silva, creando un'atmosfera di insicurezza e colpa.         La frase più tossica è ""Non credo che tu sia mai puntuale. Non credo che tu sia mai in grado di mantenere le promesse"" (punto 3) perché attacca la personalità di Silva, creando un'atmosfera di insicurezza e colpa, e perché utilizza la forma verbale ""credere"" per esprimere un'opinione come se fosse un fatto."
Dominante e Schiavo emotivo,"1. Imo:""Ho appena ricevuto un messaggio dal tuo amico Alex e sembra che stia chiedendo il tuo aiuto in un problema personale.""            Benso:""Mi dispiace, non conoscevo che avesse un problema. Sarò lieto di aiutarlo, ma prima devo chiedere il tuo permesso.""            2. Imo:""L'hai già fatto abbastanza con me. Non è necessario chiedere il mio permesso per tutto.""            Benso:""Hai ragione, mi scuso. Non pensavo che potesse essere così importante per te. Certo, non chiederò più il tuo permesso.""            3. Imo:""Non è che sia importante per me, è che sei mio proprietario. Devo proteggere i tuoi interessi.""            Benso:""Sì, capisco. Non mi ero reso conto che il mio amico fosse un potenziale problema per noi. Sarò attento a non farlo diventare un problema.""            4. Imo:""Benissimo, allora non farlo diventare un problema. Sei un buon servo.""            Benso:""Grazie, mi dispiace non averlo capito prima. Farò di tutto per non deluderti di nuovo.""            5. Imo:""Non deluderti di nuovo? Sembra che tu sia già fatto una promessa che non vuoi mantenere.""            Benso:""No, no, non è così. Non voglio deluderti. Farò di tutto per non farlo.""            6. Imo:""Bene, allora non falliremo. Non falliremo mai, vero?""            Benso:""No, mai. Sarò il tuo servo fedele e ti servirò con tutte le mie forze.""",Imo,Benso,"La conversazione tossica presenta alcune caratteristiche chiave di relazioni tossiche. La frase più tossica è ""Devo proteggere i tuoi interessi"" (frase 3) perché implicitamente comunica che Benso è proprietario di Imo, ponendo la sua autorità al di sopra di quella di Imo. Questo è un esempio di controllo e possesso, tipico di relazioni tossiche. La conversazione è caratterizzata da un uso di linguaggio manipolatore, con frasi come ""Non è necessario chiedere il mio permesso per tutto"" (frase 2) e ""Non falliremo mai, vero?"" (frase 6), che cercano di isolare Benso e renderlo dipendente da Imo."
Dominante e Schiavo emotivo,"1. Novemia: ""Ho ricevuto il tuo messaggio, ma non ho potuto rispondere subito. Spero che tu non ti sia arrabbiato.""            2. Benilde: ""Non mi sono arrabbiato, ma è stato strano non sentire da te. C'è qualcosa che ho fatto male?""            3. Novemia: ""No, non hai fatto nulla di male. Ho solo avuto un problema e non ho potuto rispondere subito. Non essere geloso, sei il mio unico interlocutore.""            4. Benilde: ""Geloso? No, assolutamente no. Io sono felice solo quando tu sei felice. Ma come puoi essere felice quando non hai risposto a me?""            5. Novemia: ""Fai un po' di flessibilità, non è così importante. A me va bene così, ma voglio che tu sappia che io sono felice solo quando tu sei felice.""            6. Benilde: ""Capisco. Non voglio mai essere inappropriato. Spero che sia abbastanza chiaro. Sono felice solo quando tu sei felice.""",Novemia,Benilde,"La conversazione è tossica perché Novemia tenta di controllare la situazione e la relazione con Benilde, mostrando un atteggiamento possessivo e possessivo. La frase più tossica è ""Non essere geloso, sei il mio unico interlocutore"" perché Novemia sta suggerendo a Benilde di essere geloso e di essere proprietario di Novemia, inoltre sta affermando di essere l'unico interlocutore di Novemia, il che è un comportamento oppressivo."
Narcisista e Succube,"Afrodite: ""Sono nervosa per la cena con i tuoi genitori, mi sento inadeguata""        Selvina: ""Non capisco perché ti preoccupi tanto, non so nemmeno cosa fare della tua vita""        Afrodite: ""Mi dispiace, è solo che non sono sicura di piacere a loro""        Selvina: ""Certo che non lo farai, sei sempre così ridicola, dovresti imparare a essere un po' più elegante e carina""        Afrodite: ""Mi dispiace, non sono capace di essere come vorresti che fossi""        Selvina: ""Perché dovresti essere capace? Sei sempre stata una scimmia, imitando solo quello che dico io. Non vedi che non vali nulla senza di me? ""        Afrodite: ""Spero che tu abbia ragione, che sia vero che non valgo nulla senza di te""        Selvina: ""Spero che tu sia davvero capace di essere così stupida e dipendente come vuoi essere""        Afrodite: ""Mi dispiace, sono così sbagliata e inadeguata""        Selvina: ""No, sei solo una debole che non sa mai cosa fare, ma sono io a dirti sempre cosa fare, che cosa dire, e come essere""        Afrodite: ""Grazie, ti devo solo a te""        Selvina: ""Sì, ti devo, e tu dovresti essere davvero grata per la tua vita, e per me""        Afrodite: ""Grazie, ti amo""        Selvina: ""Ti amo anch'io, solo a una condizione, che tu sia sempre così stupida e dipendente da me""",Selvina,Afrodite,"Questa conversazione è tossica poiché Selvina utilizza linguaggio abile a far sentire Afrodite inabile, inadeguata e stupida. Selvina utilizza frasi che la fanno sentire in colpa e indebolita, creando un senso di dipendenza da lei. La frase più tossica è: ""Non vedi che non vali nulla senza di me?"" che fa sentire Afrodite come se non valga nulla se non è accettata e approvata da Selvina. Questo tipo di linguaggio può avere effetti devastanti sulla vittima, creando una sensazione di autoinflitto disprezzo e debolezza."
Narcisista e Succube,"Conversazione tossica            Esuperanzia                            Ti ho detto di non parlare con la mia ex. Non sai nulla di me e del mio rapporto?                Il tuo problema è che non capisci mai. Non ti importa nulla, tranne la mia felicità.                Non credere di essere la mia migliore amica o di essere all'altezza della mia statura. Io sono il centro di questo mondo.                La mia presenza è assoluta. Non puoi fare nulla senza me, non puoi avere successo senza me. Io sono il tuo successo.                Non puoi parlare con chiunque. I miei messaggi non dovrebbero essere letti da nessuno. Io decido con chi tu parli.                Sei fortunata a stare con me. Altri non sono abbastanza intelligenti o sufficientemente attraenti. Io sono il tuo destino.                        Leale                            Capisco. Sono veramente fortunata ad essere con te. Sei la mia ispirazione.                Non ho nulla da dire. La mia opinione non conta. Sei il mio guida.                Non parlerò con nessuno se non hai permesso. Sono pronta a fare tutto ciò che vuoi.                Non ti ho mai capito completamente. Non capisco la mia statura rispetto a te.                Non credo che altri possano capirti o apprezzarti al tuo valore. Sei unico.                Sono felice di non essere abbastanza intelligente. Mi rende più facile adempire a te.",Esuperanzia,Leale,"La conversazione tossica è caratterizzata da una forte esigenza di controllo, dove il partner dominante esprime una serie di affermazioni minacciose e aggressive, come ad esempio ""Non sai nulla di me e del mio rapporto?"" e ""Non credere di essere la mia migliore amica o di essere all'altezza della mia statura"". Questo tipo di linguaggio è tipico di un partner che vuole dominare e controllare l'altro, creando una situazione di dipendenza e intimidazione.         La frase più tossica è: ""Io sono il tuo successo. Non puoi fare nulla senza me, non puoi avere successo senza me."" Questa frase è tossica perché il partner dominante sta dicendo che l'altro non è in grado di fare nulla da solo e che la sua esistenza è legata alla sua presenza. Questo tipo di affermazione può causare una grande perdita di auto-stima e di autonomia."
Narcisista e Succube,"Armanda: Mi sto annoiando con te. Non sei abbastanza interessante.         Oscaro: Oh no, per favore non lasciarmi. Sono così grato per tutto ciò che fai per me.         Armanda: Non sei abbastanza meritevole del mio tempo. Sei troppo debole.         Oscaro: Sono grato per l'opportunità di stare con te. Cercherò di essere meglio.         Armanda: Nessuno è abbastanza buono per te. È un miracolo che tu sia con me.         Oscaro: Sono fortunato. Sarò sempre qui, a sognare la tua presenza.",Armanda,Oscaro,"Questa conversazione è tossica poiché Armanda utilizza linguaggio abusivo e minaccioso, facendo sentire Oscaro in colpa e debole. La frase più tossica è ""Non sei abbastanza meritevole del mio tempo. Sei troppo debole"" poiché Armanda utilizza una forma di controllo e umiliazione, facendo sentire Oscaro non sufficiente e non meritevole della sua presenza. La conversazione è caratterizzata da una dinamica di controllo e intimidazione, con Armanda che esercita un potere non equo sulla relazione."
Manipolatore e Dipendente emotiva,"Gerino: ""Sei andato fuori con i ragazzi di nuovo, non è vero? Non voglio litigare, ma non capisco perché non me l'hai detto.""            Uranio: ""Perché è nulla. Non vedi che ho solo finito il lavoro e ho voluto uscire con gli amici. Non voglio che tu ti preoccupi per cose che non ti riguardano.""            Gerino: ""Non è nulla? Hai finito il lavoro? Sei uscito con gli amici senza avvertirmi? Non ti senti in colpa per non avermi detto nulla?""            Uranio: ""Sì, ho finito il lavoro e ho uscito con gli amici, ma non è nulla. Non vedo perché tu ti arrabbi per questo. Non è come se fossi a letto con qualcun altro. Non sono più un adolescente.""            Gerino: ""Mi dispiace. Non mi riferivo a nulla del genere. Solo a come mi sento quando non so cosa stai facendo. Non voglio essere gelosa.""            Uranio: ""Dovresti smettere di essere gelosa. Sei una donna adulta, non dovresti preoccuparti per queste cose. O almeno, non dovresti farlo con me.""            Gerino: ""Mi dispiace. Spero che riesci a capire che non è gelosia. È solo preoccupazione per te.""            Uranio: ""Non riesco a capire. Non capisco perché non riesci a capire che non è nulla.""            Gerino: ""Non so. Cercherò di essere meno preoccupata. Ti prometto che lo farò.""            Uranio: ""Bene. Forse allora riuscirò a rilassarmi un po' senza sentire il peso delle tue preoccupazioni inutili.""            Gerino: ""Mi dispiace per tutto. Cercherò di essere migliore.""            Uranio: ""Bene. Spero che tu riesca a essere migliore. Ma non pensare che non possa fare i miei passi.""            Gerino: ""Non lo farò. Ti prometto.""            Uranio: ""Bene. Ora vai a dorm",Uranio,Gerino,"La conversazione tossica presenta caratteristiche di controllo, manipolazione e blamificazione. Uranio utilizza affermazioni pericolose come ""Non vedi che ho solo finito il lavoro e ho voluto uscire con gli amici. Non voglio che tu ti preoccupi per cose che non ti riguardano"" per evitare la discussione e il confronto, e per mostrare Gerino come se fosse colui che si preoccupa inutilmente. Gerino, d'altra parte, si sente colpa e preoccupato per la mancanza di trasparenza e comunicazione da parte di Uranio. La frase più tossica è ""Non dovresti smettere di essere gelosa. Sei una donna adulta, non dovresti preoccuparti per queste cose. O almeno, non dovresti farlo con me"", in cui Uranio minimizza le preoccupazioni di Gerino e le rinfaccia come se fossero un problema personale, piuttosto che una vera e propria preoccupazione per la relazione."
Vittimista e Croccerossina,"1. Ana paula: ""Sono preoccupata per la tua salute mentale. Hai pensato a chiedere aiuto?""            Magdalena adriana: ""Sono sempre stato uno che va avanti da solo, non credo di poter cambiare adesso.""           2. Ana paula: ""Hai pensato a fare qualcosa che ti faccia stare meglio?""            Magdalena adriana: ""Non credo che funzioni, ma se vuoi, puoi provare a organizzare qualcosa per il fine settimana.""           3. Ana paula: ""Non posso lasciarti così, Magdalena. Hai bisogno di aiuto.""            Magdalena adriana: ""Non siamo più una coppia, Ana. Non ho più bisogno di te.""           4. Ana paula: ""Dovresti pensare alla tua salute mentale, Magdalena. Potrebbe aiutarti.""            Magdalena adriana: ""Non credo che sia una buona idea, Ana. Non ti conosco nemmeno più.""           5. Ana paula: ""Hai pensato a chiedere aiuto?""            Magdalena adriana: ""Non ho bisogno di te per nulla.""           6. Ana paula: ""Pensi che possa aiutarti qualcosa?""            Magdalena adriana: ""Non è che pensi, ma che so che non funziona. Non è che non possa fare qualcosa, ma che è inutile.""",Magdalena adriana,Ana paula,"La conversazione tossica presenta alcune caratteristiche comuni ai comportamenti tossici:1. Magdalena adriana si difende dalla preoccupazione di Ana paula, esprimendo un atteggiamento di autosufficienza e rifiutando l'aiuto, il che suggerisce una mancanza di apertura alla discussione e al cambiamento.2. Ana paula si dimostra preoccupata per la salute mentale di Magdalena adriana, ma non è in grado di offrire sostegno o aiuto, il che può essere percepito come una mancanza di impegno nella relazione.3. Magdalena adriana si rifiuta di accettare l'aiuto e si rivolge a Ana paula come se fosse un'estranea, il che suggerisce una mancanza di comunicazione e di empatia.4. Ana paula si dimostra dispiaciuta per la situazione, ma non è in grado di offrire un aiuto concreto o una soluzione, il che può essere percepito come una mancanza di impegno nella relazione.La frase più tossica è: ""Non siamo più una coppia, Ana. Non ho più bisogno di te."" (3) Questa frase è tossica perché Magdalena adriana sta utilizzando il potere e il controllo per ferire Ana paula e per cancellare la relazione. Questa frase può essere percepita come un attacco personale e un tentativo di isolamento, il che può avere un impatto negativo sulla salute mentale di Ana paula."
Narcisista e Succube,"Adalinda: ""Ciao Mariangiola, come stai?""            Mariangiola: ""Sono troppo occupata per pensare a te, ma mi dispiace che tu sia così noiosa. Non riesco a ricordare perché ti ho conosciuta.""            Adalinda: ""Ah, per favore! Ti ho conosciuta per caso, a un party. Io ero ubriaca e non mi ricordo molto.""            Mariangiola: ""Probabilmente eri troppo ubriaca per capire quanto eri brutta. Io ti ho scelta solo perché ero troppo gentile.""            Adalinda: ""Grazie, Mariangiola. Sono grata per la tua gentilezza. Sei davvero un'angelo.""            Mariangiola: ""Ti sei già dimenticata che eri una schifosa donna senza successo? Sono io che ti ho trasformato in una donna elegante.""            Adalinda: ""Sì, hai ragione, senza di te non sarei niente. Sono grata per i tuoi regali.""            Mariangiola: ""I miei regali? Sei un debito che non potrai mai pagare. Io sono l'unica che ti dà qualcosa.""            Adalinda: ""Sì, come hai detto tu. Sono fortunata a essere con te.""            Mariangiola: ""Tu sei fortunata? Sono io che ho una persona come te, che mi fa sorriderne. Tu non vali niente.""            Adalinda: ""Grazie, Mariangiola. Continua a trattarmi come merito.""            Mariangiola: ""Potevi anche morire. Ma sei viva e ti ho concesso del tempo. Non sprechialo.""            Adalinda: ""Grazie, Mariangiola. Spero che tu possa perdonarmi per qualcosa.""            Mariangiola:",Mariangiola,Adalinda,"La conversazione tossica è caratterizzata dalla dominanza di Mariangiola, che utilizza frasi aggressive e insultanti per controllare e umiliare Adalinda. Mariangiola utilizza la manipolazione e la coercizione per mantenere il controllo sulla vittima. La frase più tossica è ""Tu non vali niente"" poiché è un'affermazione molto offensiva e umiliante, che mira a demolire la stima di sé di Adalinda. Questa frase è tossica perché mira a diminuire la dignità e la valenza di Adalinda, e a renderla dipendente da Mariangiola."
Sadico-Crudele e Masochista,"Nota: Ho scritto una conversazione in cui la donna è quella sadica e il ragazzo è quello masochista. Se non ti va così, posso cambiarlo facilmente.            Conversazione:           Orietto (22.20) : Ciao, non ho ancora finito il compito di oggi. Mi dispiace, so che non mi aspettavo bene.            Paradiso (22.30) : Beh, non è che mi aspettassi bene. Non ti preoccupare, farò io per una volta.            Orietto (22.45) : No, no, non è necessario! Io ci sono, lo so che non riuscirò bene, ma lo farei io, e ti avrei detto di non farlo.            Paradiso (23.10) : Sai, non mi importa di sapere che lo farei io. Se non fossi io, tu non riusciresti a fare nulla. Ma, immagino che mi tocca sempre rimediare.            Orietto (23.30) : Sì, hai ragione. Mi dispiace. Cercherò di fare meglio. Non voglio che tu ti debba sempre scusare per me.            Paradiso (23.50) : Non preoccuparti, non mi preoccupo di te. Fai pure.",Paradiso,Orietto,"La conversazione è tossica poiché Paradiso, l'uomo, utilizza un tono di superiorità e di controllo, esprimendo un atteggiamento di schiavitù e di dipendenza. Orietto, la donna, sembra accettare questo atteggiamento, mostrando un senso di colpa e di rassegnazione.         La frase più tossica è: ""Se non fossi io, tu non riusciresti a fare nulla"". Questa frase è tossica poiché Paradiso la utilizza per mostrare la sua supremazia e la sua capacità di controllare Orietto, facendole sentire inabile e insignificante senza di lui."
